Target Point,Force,Baseline Final Err (m),RL Final Err (m),Improvement (%),RL Peak Err (m)
"Pt 1 (-0.10, 0.36, 0.79)",+X,0.02280255133296824,0.008979952043369155,60.61865221903561,0.04367115102841806
"Pt 1 (-0.10, 0.36, 0.79)",-X,0.020791737619501104,0.01358736435789874,34.6501739943332,0.04188567210345602
"Pt 1 (-0.10, 0.36, 0.79)",+Y,0.018567302682398954,0.01963241486840461,0.0,0.04889234012881817
"Pt 1 (-0.10, 0.36, 0.79)",-Y,0.025749126262782925,0.004415355122662407,82.85240797065708,0.04610399377762025
"Pt 2 (0.08, -0.28, 0.56)",+X,0.016180487596542243,0.012059343737520522,25.469837261903074,0.03856344098440614
"Pt 2 (0.08, -0.28, 0.56)",-X,0.019026723367939122,0.010395563076211013,45.363356184975075,0.0404110895697647
"Pt 2 (0.08, -0.28, 0.56)",+Y,0.022337887046111036,0.008763056738175321,60.770431330026156,0.025761903667964412
"Pt 2 (0.08, -0.28, 0.56)",-Y,0.012059436778639758,0.014152622226017684,0.0,0.028304293550028156
"Pt 3 (-0.35, 0.29, 0.74)",+X,0.03369135973415446,0.005044988024185998,85.02586994412201,0.038607200802671396
"Pt 3 (-0.35, 0.29, 0.74)",-X,0.024037178543620478,0.013038636839355033,45.75637562580939,0.03442916221881256
"Pt 3 (-0.35, 0.29, 0.74)",+Y,0.024818308405948602,0.010845867544138974,56.29892510506731,0.03427907584635985
"Pt 3 (-0.35, 0.29, 0.74)",-Y,0.03281643417890742,0.004493119801678771,86.30832412448181,0.03930951634195116
"Pt 4 (0.17, -0.38, 0.89)",+X,0.023575324933976995,0.00837750581284932,64.46494020205179,0.04377271268916364
"Pt 4 (0.17, -0.38, 0.89)",-X,0.026620760904167356,0.005321031592099257,80.01172238744581,0.04860785537117245
"Pt 4 (0.17, -0.38, 0.89)",+Y,0.02910570139086225,0.011797372132080769,59.46714365803065,0.06654394204306324
"Pt 4 (0.17, -0.38, 0.89)",-Y,0.022144195981186277,0.015213968007239202,31.295911487755077,0.05755486833974254
"Pt 5 (0.27, -0.23, 0.57)",+X,0.015041442320595552,0.011705489897871482,22.178407838963057,0.030111049383483707
"Pt 5 (0.27, -0.23, 0.57)",-X,0.027187911794016095,0.006972457667187351,74.35456713258151,0.0342337652190996
"Pt 5 (0.27, -0.23, 0.57)",+Y,0.026434536773250503,0.006680135083224296,74.72951714446525,0.03668506774253258
"Pt 5 (0.27, -0.23, 0.57)",-Y,0.01598944506699812,0.011775618436302971,26.353801604987524,0.03303945722039952
